product_id,product_name,brand,category,subcategory,base_cost,retail_price,margin_amount,margin_pct,warranty_months,launch_date,discontinued_flag,supplier_country,product_rating,created_at,updated_at
1,Security Think,Samsung,Sports,Team Sports,196.08,295.74,99.66,,0.0,2019-04-18,True,Uganda,3.3,2019-03-07 09:53:38,2025-11-24 22:48:59
2,Television Center,LG,Sports,Team Sports,,1140.34,,49.2,12.0,2024-11-06,True,Turks and Caicos Islands,1.2,2019-12-30 01:47:20,2025-04-08 06:35:33
3,Husband Production,,Sports,Outdoor,420.75,995.78,575.03,57.75,12.0,2024-05-18,True,Saint Pierre and Miquelon,2.0,2020-02-18 00:24:28,2025-12-22 23:12:46
3,Skill Maintain,Bosch,Home Appliances,Laundry,762.63,975.03,,21.78,12.0,2021-11-30,True,Zimbabwe,,2018-02-27 23:06:25,2025-09-14 14:26:27
5,Cause Laugh,,Fashion,Men,777.57,1139.02,361.45,31.73,12.0,2021-02-08,,Grenada,4.1,2019-05-04 16:53:10,2025-01-27 14:21:51
6,Sport Treatment,Bosch,Electronics,Tablets,501.1,1217.77,716.67,58.85,12.0,2025-01-14,True,Norfolk Island,,2019-07-25 16:59:03,2025-07-07 12:56:18
7,Value Week,Sony,Electronics,Laptops,1210.68,2000.82,790.14,,6.0,2019-12-21,,Niue,2.6,2020-12-09 05:47:40,2026-01-14 06:47:24
8,New Bag,Xiaomi,Home Appliances,Laundry,388.05,556.69,168.64,,36.0,2018-06-18,,Bulgaria,,2018-05-22 08:45:18,2025-03-26 13:39:21
9,Less Production,Puma,Electronics,Accessories,995.88,2020.7,1024.82,,6.0,2018-04-17,,Dominica,5.0,2020-01-19 15:29:23,2025-03-19 02:06:53
10,Choice Notice,Bosch,Sports,Outdoor,248.88,553.8,,55.06,,2020-07-09,True,Gabon,5.0,2019-11-12 22:29:59,2025-02-13 15:56:12
11,Organization And,Philips,Sports,Fitness,119.44,135.38,15.94,11.77,0.0,2021-06-14,False,Cyprus,1.8,2019-04-25 07:25:32,2025-10-13 03:04:27
12,Candidate Could,Adidas,Electronics,Laptops,,753.9,,,6.0,2020-06-25,True,British Indian Ocean Territory (Chagos Archipelago),,2019-01-13 04:38:38,2025-05-15 12:23:14
13,Perform Nor,Sony,Fashion,Men,1145.1,1468.91,323.81,22.04,0.0,2018-05-12,,Iraq,,2020-05-09 22:55:09,2025-08-05 11:32:32
14,Study Pattern,Lenovo,Electronics,Laptops,795.97,1707.99,912.02,53.4,0.0,2019-01-04,,Djibouti,4.5,2019-03-28 14:27:58,2025-04-02 18:18:25
15,Because Start,Adidas,Electronics,Smartphones,1425.34,2866.64,1441.3,50.28,0.0,2023-01-31,False,Israel,3.2,2018-05-01 17:31:46,2025-03-08 04:22:21
16,Would Small,Nike,Sports,Team Sports,1308.85,1679.99,371.14,22.09,,2022-01-08,False,Guyana,2.4,2020-09-02 00:44:16,2025-10-08 23:30:35
17,First I,Puma,Electronics,Laptops,51.58,96.34,44.76,46.46,24.0,2022-10-05,False,Senegal,3.1,2021-01-15 20:50:20,2025-03-11 13:14:38
18,Likely Large,Nike,Electronics,Smartphones,1033.12,1371.75,338.63,24.69,0.0,2021-11-17,True,United Arab Emirates,3.4,2019-07-28 09:21:19,2025-12-18 07:35:50
19,Candidate More,Samsung,Fashion,Women,,1467.34,,34.28,6.0,2023-10-09,False,Guinea-Bissau,3.5,2020-07-29 09:42:44,2025-06-22 10:42:01
20,Month Candidate,Puma,Electronics,Accessories,393.5,434.96,41.46,9.53,36.0,2020-08-26,,United States Virgin Islands,3.6,2019-01-03 06:15:56,2025-12-25 14:43:29
21,Big So,Philips,Electronics,Accessories,1043.42,2233.32,1189.9,53.28,6.0,2022-01-08,,Malawi,1.4,2020-03-31 09:58:47,2025-07-16 16:29:25
22,Old Interview,Nike,Fashion,Women,898.66,1418.55,519.89,,12.0,2024-05-07,True,Indonesia,3.9,2019-02-04 07:09:09,2026-01-11 15:49:56
23,Discuss Likely,Sony,Sports,Fitness,631.94,1255.63,,49.67,0.0,2018-02-19,,Iran,1.3,2019-08-01 17:00:41,2025-04-17 11:42:19
24,Rise Win,Puma,Home Appliances,Kitchen,1072.04,1690.96,618.92,36.6,0.0,2022-02-16,False,Dominican Republic,3.3,2019-06-18 10:12:39,2025-11-15 14:09:08
25,Newspaper Chair,Samsung,Fashion,Women,1344.52,2597.04,1252.52,48.23,36.0,2024-06-09,True,Jamaica,1.3,2018-04-29 09:36:01,2026-01-09 18:50:54
26,Choice News,Xiaomi,Home Appliances,Laundry,983.41,1747.13,763.72,,0.0,2019-06-26,,Puerto Rico,3.1,2019-04-05 07:10:16,2025-09-18 11:08:43
